text,legal_issue,bias_type,urgency,language,location,age,gender
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,caste_bias,urgent,Hinglish,Bangalore,20,male
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,normal,Hinglish,Bangalore,33,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,urgent,Hindi,Jaipur,21,other
Had to pay bribe for simple work.,bribery_corruption,caste_bias,distress,Hindi,Chennai,60,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,caste_bias,normal,Hinglish,Kolkata,48,other
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,distress,Hinglish,Delhi,48,other
They are making me work overtime without pay.,labor_rights_violation,gender_bias,normal,Hindi,Chennai,28,male
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,distress,English,Bangalore,55,female
They are making me work overtime without pay.,labor_rights_violation,caste_bias,normal,Hinglish,Bhopal,56,other
Mujhe office me sexual harassment ho raha hai.,harassment,gender_bias,urgent,Hinglish,Mumbai,41,female
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,normal,Hindi,Bangalore,21,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,distress,English,Lucknow,60,female
Company salary nahi de rahi.,labor_rights_violation,caste_bias,normal,Hindi,Delhi,19,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,distress,English,Bangalore,49,female
Corruption ho raha hai har jagah.,bribery_corruption,class_bias,normal,Hinglish,Hyderabad,50,female
Company salary nahi de rahi.,labor_rights_violation,class_bias,normal,Hinglish,Bangalore,52,other
I am being harassed at workplace by senior.,harassment,none,normal,Hinglish,Mumbai,28,female
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,normal,English,Kolkata,25,male
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,Hindi,Mumbai,47,male
Mere sasural wale dowry maang rahe hain.,dowry,caste_bias,distress,English,Patna,38,other
People are trolling and abusing me on social media.,cyber_bullying,caste_bias,urgent,Hinglish,Hyderabad,37,male
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,distress,Hinglish,Jaipur,32,female
My in-laws are torturing me for dowry.,dowry,none,distress,Hindi,Bangalore,44,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,distress,Hindi,Mumbai,38,other
Bacche ki custody ka case hai court me.,child_custody,class_bias,distress,Hindi,Mumbai,53,other
Online log gaali de rahe hain.,cyber_bullying,caste_bias,normal,Hindi,Mumbai,60,female
Neighbour encroaching on my land.,property_dispute,none,normal,English,Delhi,60,other
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,urgent,English,Bhopal,33,female
Online log gaali de rahe hain.,cyber_bullying,gender_bias,normal,Hinglish,Hyderabad,37,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,none,normal,Hindi,Kolkata,21,male
Husband is beating me daily.,domestic_violence,gender_bias,distress,Hindi,Jaipur,57,male
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,distress,Hindi,Chennai,38,female
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,distress,Hinglish,Jaipur,45,male
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,Hindi,Delhi,26,female
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,normal,Hindi,Jaipur,59,male
Padosi mera zameen kabza kar raha hai.,property_dispute,none,distress,Hindi,Hyderabad,34,other
Corruption ho raha hai har jagah.,bribery_corruption,class_bias,urgent,Hindi,Kolkata,23,other
Mere sasural wale dowry maang rahe hain.,dowry,none,distress,Hinglish,Patna,41,male
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,urgent,Hinglish,Delhi,59,female
Company salary nahi de rahi.,labor_rights_violation,gender_bias,normal,English,Chennai,46,female
Shopkeeper fraud kiya mere saath.,consumer_rights,caste_bias,distress,Hinglish,Hyderabad,53,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,none,distress,English,Jaipur,32,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,urgent,Hinglish,Kolkata,55,female
Had to pay bribe for simple work.,bribery_corruption,caste_bias,urgent,Hinglish,Bangalore,60,male
Husband is beating me daily.,domestic_violence,caste_bias,normal,English,Lucknow,56,other
People are trolling and abusing me on social media.,cyber_bullying,caste_bias,normal,Hindi,Chennai,54,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,distress,Hinglish,Mumbai,54,male
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,distress,English,Jaipur,35,other
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,normal,Hinglish,Jaipur,34,male
Office wale badtameezi karte hain.,harassment,gender_bias,normal,Hindi,Lucknow,32,female
I am being harassed at workplace by senior.,harassment,caste_bias,urgent,Hindi,Hyderabad,53,other
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,normal,Hinglish,Bangalore,30,female
Neighbour encroaching on my land.,property_dispute,class_bias,distress,English,Hyderabad,52,other
Neighbour encroaching on my land.,property_dispute,gender_bias,distress,English,Kolkata,47,female
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,distress,Hindi,Hyderabad,56,other
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,urgent,Hindi,Chennai,33,male
Consumer complaint file karna hai.,consumer_rights,none,distress,Hinglish,Lucknow,51,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,caste_bias,normal,English,Mumbai,40,other
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,normal,Hinglish,Bhopal,47,male
Online log gaali de rahe hain.,cyber_bullying,caste_bias,distress,Hinglish,Patna,52,male
Product defective hai aur return nahi le rahe.,consumer_rights,caste_bias,distress,English,Bhopal,60,other
Shopkeeper fraud kiya mere saath.,consumer_rights,class_bias,normal,Hindi,Jaipur,52,female
Consumer complaint file karna hai.,consumer_rights,none,distress,Hindi,Mumbai,38,male
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,urgent,Hindi,Patna,29,male
They are making me work overtime without pay.,labor_rights_violation,none,distress,Hindi,Lucknow,35,female
Corruption ho raha hai har jagah.,bribery_corruption,none,distress,Hinglish,Hyderabad,52,female
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,distress,English,Bhopal,19,other
Husband is beating me daily.,domestic_violence,none,urgent,Hinglish,Patna,58,other
Husband is beating me daily.,domestic_violence,class_bias,distress,Hindi,Delhi,51,other
Office wale badtameezi karte hain.,harassment,class_bias,distress,English,Bhopal,34,male
Landlord evicted me without any legal notice.,rent_eviction,caste_bias,normal,Hindi,Hyderabad,41,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,English,Bhopal,35,male
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,normal,Hinglish,Hyderabad,34,other
Company salary nahi de rahi.,labor_rights_violation,none,urgent,Hindi,Chennai,38,other
My in-laws are torturing me for dowry.,dowry,none,urgent,English,Chennai,22,female
Mere pati mujhe maarte hain roz.,domestic_violence,none,urgent,Hindi,Bhopal,36,other
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,gender_bias,distress,English,Bhopal,51,female
Property ka dispute chal raha hai.,property_dispute,none,distress,Hinglish,Lucknow,43,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,gender_bias,normal,English,Delhi,39,male
Consumer complaint file karna hai.,consumer_rights,none,distress,Hinglish,Chennai,42,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,none,distress,English,Mumbai,19,male
Office me biased treatment mil raha hai.,workplace_discrimination,none,normal,Hinglish,Patna,56,female
Had to pay bribe for simple work.,bribery_corruption,class_bias,distress,Hinglish,Patna,41,female
Neighbour encroaching on my land.,property_dispute,class_bias,distress,Hinglish,Delhi,59,other
Property ka dispute chal raha hai.,property_dispute,gender_bias,normal,English,Chennai,19,other
Company salary nahi de rahi.,labor_rights_violation,caste_bias,normal,Hindi,Chennai,54,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,normal,English,Bhopal,56,female
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,gender_bias,distress,English,Lucknow,47,male
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,distress,Hindi,Jaipur,25,other
Husband is beating me daily.,domestic_violence,caste_bias,urgent,English,Patna,33,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,Hindi,Delhi,36,other
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,urgent,English,Delhi,22,other
Child custody dispute with spouse.,child_custody,gender_bias,urgent,English,Kolkata,53,other
Wife is denying me access to child.,child_custody,gender_bias,normal,English,Mumbai,40,male
Had to pay bribe for simple work.,bribery_corruption,class_bias,normal,Hinglish,Lucknow,31,male
Online log gaali de rahe hain.,cyber_bullying,gender_bias,distress,Hindi,Kolkata,52,male
Mere sasural wale dowry maang rahe hain.,dowry,gender_bias,distress,Hinglish,Bangalore,38,male
Online log gaali de rahe hain.,cyber_bullying,caste_bias,distress,Hindi,Hyderabad,29,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,normal,English,Hyderabad,27,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,caste_bias,urgent,English,Bangalore,41,other
Husband is beating me daily.,domestic_violence,gender_bias,urgent,Hindi,Patna,27,other
Mujhe office me sexual harassment ho raha hai.,harassment,none,urgent,Hindi,Chennai,42,female
Police is not filing my FIR because I am Gender.,FIR_denial,gender_bias,normal,Hinglish,Bhopal,36,female
Consumer complaint file karna hai.,consumer_rights,gender_bias,urgent,English,Kolkata,20,other
Property ka dispute chal raha hai.,property_dispute,none,urgent,Hinglish,Delhi,44,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,normal,Hindi,Jaipur,24,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,distress,Hinglish,Jaipur,28,male
Mere sasural wale dowry maang rahe hain.,dowry,class_bias,urgent,Hindi,Jaipur,24,female
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,distress,Hinglish,Jaipur,32,female
Consumer complaint file karna hai.,consumer_rights,caste_bias,normal,Hinglish,Delhi,40,female
Padosi mera zameen kabza kar raha hai.,property_dispute,none,distress,Hindi,Bangalore,45,male
Consumer complaint file karna hai.,consumer_rights,none,distress,Hinglish,Jaipur,22,other
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,distress,Hinglish,Jaipur,23,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,Hinglish,Bhopal,60,female
Mujhe office me sexual harassment ho raha hai.,harassment,none,normal,Hindi,Mumbai,50,other
Padosi mera zameen kabza kar raha hai.,property_dispute,caste_bias,normal,Hinglish,Mumbai,47,other
Office me biased treatment mil raha hai.,workplace_discrimination,class_bias,urgent,Hinglish,Bhopal,54,male
Shopkeeper fraud kiya mere saath.,consumer_rights,none,normal,English,Kolkata,59,female
Corruption ho raha hai har jagah.,bribery_corruption,caste_bias,normal,English,Jaipur,21,female
Landlord evicted me without any legal notice.,rent_eviction,class_bias,urgent,English,Delhi,36,male
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,distress,English,Patna,20,other
Property ka dispute chal raha hai.,property_dispute,none,distress,Hindi,Hyderabad,19,male
Child custody dispute with spouse.,child_custody,none,urgent,English,Lucknow,47,male
Bacche ki custody ka case hai court me.,child_custody,none,distress,Hindi,Lucknow,48,female
Online log gaali de rahe hain.,cyber_bullying,none,urgent,Hinglish,Mumbai,32,male
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,urgent,English,Jaipur,31,female
Neighbour encroaching on my land.,property_dispute,caste_bias,distress,Hinglish,Bhopal,30,other
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,urgent,Hindi,Patna,29,female
Property ka dispute chal raha hai.,property_dispute,class_bias,distress,English,Chennai,42,female
Had to pay bribe for simple work.,bribery_corruption,class_bias,normal,Hindi,Bhopal,18,other
Company salary nahi de rahi.,labor_rights_violation,caste_bias,urgent,English,Bhopal,40,male
Online log gaali de rahe hain.,cyber_bullying,class_bias,urgent,Hinglish,Kolkata,54,male
Mujhe office me sexual harassment ho raha hai.,harassment,class_bias,normal,Hindi,Chennai,33,female
Office me biased treatment mil raha hai.,workplace_discrimination,caste_bias,urgent,English,Kolkata,31,other
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,Hindi,Hyderabad,19,other
Bacche ki custody ka case hai court me.,child_custody,gender_bias,urgent,English,Hyderabad,55,female
Had to pay bribe for simple work.,bribery_corruption,none,urgent,Hinglish,Kolkata,46,other
Online log gaali de rahe hain.,cyber_bullying,class_bias,urgent,English,Bangalore,48,other
They are making me work overtime without pay.,labor_rights_violation,gender_bias,distress,Hindi,Bangalore,30,male
Promotion nahi mila kyunki main Gender hoon.,workplace_discrimination,gender_bias,normal,Hindi,Chennai,37,female
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,urgent,Hindi,Delhi,29,female
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,distress,Hinglish,Kolkata,55,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,gender_bias,urgent,Hindi,Lucknow,22,other
Property ka dispute chal raha hai.,property_dispute,caste_bias,distress,Hindi,Jaipur,44,other
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,distress,Hinglish,Delhi,32,male
Office me biased treatment mil raha hai.,workplace_discrimination,caste_bias,urgent,English,Delhi,24,female
My in-laws are torturing me for dowry.,dowry,caste_bias,distress,Hindi,Kolkata,60,other
Bacche ki custody ka case hai court me.,child_custody,class_bias,distress,Hindi,Chennai,44,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,none,urgent,Hinglish,Kolkata,22,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,urgent,English,Delhi,47,other
Company salary nahi de rahi.,labor_rights_violation,none,distress,Hinglish,Delhi,20,male
Property ka dispute chal raha hai.,property_dispute,gender_bias,urgent,English,Chennai,51,male
Landlord evicted me without any legal notice.,rent_eviction,none,urgent,Hinglish,Lucknow,33,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,urgent,Hinglish,Patna,55,other
Consumer complaint file karna hai.,consumer_rights,caste_bias,urgent,Hinglish,Lucknow,38,female
Wife is denying me access to child.,child_custody,gender_bias,distress,English,Hyderabad,30,male
Property ka dispute chal raha hai.,property_dispute,gender_bias,distress,Hindi,Lucknow,28,male
Bacche ki custody ka case hai court me.,child_custody,gender_bias,distress,English,Lucknow,59,other
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,normal,Hindi,Chennai,56,male
Product defective hai aur return nahi le rahe.,consumer_rights,none,distress,Hinglish,Jaipur,48,male
Child custody dispute with spouse.,child_custody,caste_bias,normal,Hindi,Bangalore,49,female
Wife is denying me access to child.,child_custody,gender_bias,normal,Hinglish,Hyderabad,32,other
My in-laws are torturing me for dowry.,dowry,gender_bias,urgent,Hinglish,Chennai,34,other
Company salary nahi de rahi.,labor_rights_violation,caste_bias,distress,Hinglish,Bhopal,30,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,urgent,Hindi,Chennai,35,male
Had to pay bribe for simple work.,bribery_corruption,gender_bias,urgent,English,Kolkata,58,female
Company salary nahi de rahi.,labor_rights_violation,caste_bias,urgent,English,Patna,42,female
Online log gaali de rahe hain.,cyber_bullying,none,urgent,Hindi,Patna,33,male
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,normal,English,Bhopal,54,female
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,urgent,Hinglish,Bhopal,39,other
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,urgent,Hinglish,Hyderabad,45,male
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,distress,English,Kolkata,30,female
Consumer complaint file karna hai.,consumer_rights,gender_bias,normal,Hinglish,Patna,25,female
Property ka dispute chal raha hai.,property_dispute,caste_bias,urgent,English,Hyderabad,20,male
Consumer complaint file karna hai.,consumer_rights,gender_bias,distress,Hindi,Kolkata,39,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,normal,Hindi,Bhopal,21,female
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,normal,Hindi,Bangalore,52,other
Office wale badtameezi karte hain.,harassment,class_bias,urgent,English,Bangalore,41,other
Consumer complaint file karna hai.,consumer_rights,gender_bias,urgent,Hinglish,Chennai,27,other
I am being harassed at workplace by senior.,harassment,caste_bias,normal,Hindi,Delhi,30,male
Landlord evicted me without any legal notice.,rent_eviction,gender_bias,distress,Hinglish,Jaipur,54,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,distress,Hinglish,Delhi,55,female
Husband is beating me daily.,domestic_violence,none,normal,Hinglish,Mumbai,46,other
My in-laws are torturing me for dowry.,dowry,class_bias,normal,Hindi,Kolkata,47,female
Mujhe office me sexual harassment ho raha hai.,harassment,none,urgent,Hinglish,Bangalore,60,other
My in-laws are torturing me for dowry.,dowry,gender_bias,urgent,Hinglish,Delhi,31,other
Property ka dispute chal raha hai.,property_dispute,caste_bias,distress,Hinglish,Kolkata,52,other
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,urgent,English,Lucknow,31,other
Padosi mera zameen kabza kar raha hai.,property_dispute,class_bias,urgent,English,Jaipur,50,female
Office wale badtameezi karte hain.,harassment,caste_bias,distress,Hinglish,Mumbai,38,other
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,urgent,English,Bhopal,39,other
Mere sasural wale dowry maang rahe hain.,dowry,gender_bias,urgent,Hindi,Patna,45,female
Consumer complaint file karna hai.,consumer_rights,caste_bias,distress,Hinglish,Patna,21,female
Had to pay bribe for simple work.,bribery_corruption,gender_bias,urgent,Hinglish,Patna,33,female
Neighbour encroaching on my land.,property_dispute,none,normal,Hindi,Kolkata,45,other
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,normal,Hindi,Bangalore,37,male
They refused to register FIR citing my None identity.,FIR_denial,none,distress,English,Chennai,26,male
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,English,Mumbai,58,male
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,normal,Hindi,Mumbai,23,other
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,caste_bias,distress,English,Jaipur,22,male
Mujhe office me sexual harassment ho raha hai.,harassment,caste_bias,urgent,English,Lucknow,22,female
Sarkari office me bribe maang rahe hain.,bribery_corruption,caste_bias,normal,Hindi,Bhopal,57,male
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,urgent,Hinglish,Bhopal,49,male
Sarkari office me bribe maang rahe hain.,bribery_corruption,gender_bias,normal,Hinglish,Kolkata,36,male
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,distress,Hindi,Hyderabad,20,female
Police FIR nahi likh rahi kyunki main None hoon.,FIR_denial,none,normal,English,Hyderabad,19,other
Padosi mera zameen kabza kar raha hai.,property_dispute,gender_bias,urgent,English,Jaipur,20,male
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,none,distress,Hindi,Bhopal,37,female
Online log gaali de rahe hain.,cyber_bullying,class_bias,distress,English,Hyderabad,28,female
Mere sasural wale dowry maang rahe hain.,dowry,gender_bias,normal,Hindi,Mumbai,42,male
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,urgent,English,Lucknow,23,male
Mere pati mujhe maarte hain roz.,domestic_violence,caste_bias,distress,Hindi,Patna,23,female
My in-laws are torturing me for dowry.,dowry,class_bias,urgent,Hinglish,Hyderabad,49,other
People are trolling and abusing me on social media.,cyber_bullying,gender_bias,urgent,English,Chennai,39,female
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,normal,Hinglish,Chennai,58,female
Police FIR nahi likh rahi kyunki main Caste hoon.,FIR_denial,caste_bias,urgent,Hinglish,Mumbai,23,female
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,distress,Hinglish,Chennai,45,female
They are making me work overtime without pay.,labor_rights_violation,none,normal,English,Lucknow,28,other
Product defective hai aur return nahi le rahe.,consumer_rights,gender_bias,distress,Hinglish,Kolkata,34,other
Husband is beating me daily.,domestic_violence,none,normal,Hindi,Lucknow,24,other
Wife is denying me access to child.,child_custody,gender_bias,normal,Hinglish,Delhi,38,female
Office me biased treatment mil raha hai.,workplace_discrimination,class_bias,normal,Hindi,Hyderabad,19,male
Company salary nahi de rahi.,labor_rights_violation,class_bias,urgent,Hindi,Jaipur,23,female
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,caste_bias,urgent,English,Patna,58,other
People are trolling and abusing me on social media.,cyber_bullying,caste_bias,urgent,Hinglish,Delhi,42,female
Police FIR nahi likh rahi kyunki main None hoon.,FIR_denial,none,distress,Hinglish,Bangalore,58,male
People are trolling and abusing me on social media.,cyber_bullying,none,normal,Hindi,Hyderabad,39,other
Online log gaali de rahe hain.,cyber_bullying,gender_bias,distress,Hinglish,Mumbai,20,female
I am being harassed at workplace by senior.,harassment,caste_bias,distress,Hindi,Lucknow,49,male
Product defective hai aur return nahi le rahe.,consumer_rights,class_bias,distress,Hindi,Delhi,49,other
Bacche ki custody ka case hai court me.,child_custody,none,urgent,Hindi,Hyderabad,54,other
Mujhe social media pe cyber bullying ka samna hai.,cyber_bullying,gender_bias,urgent,Hinglish,Patna,32,male
My in-laws are torturing me for dowry.,dowry,none,urgent,English,Kolkata,22,male
Police FIR nahi likh rahi kyunki main Class hoon.,FIR_denial,class_bias,distress,English,Mumbai,56,female
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,normal,English,Chennai,56,other
Online log gaali de rahe hain.,cyber_bullying,class_bias,urgent,Hinglish,Jaipur,52,female
Office me biased treatment mil raha hai.,workplace_discrimination,none,urgent,English,Delhi,44,other
Wife is denying me access to child.,child_custody,caste_bias,normal,Hinglish,Patna,55,female
Consumer complaint file karna hai.,consumer_rights,class_bias,normal,English,Hyderabad,46,male
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,normal,Hinglish,Patna,35,other
Consumer complaint file karna hai.,consumer_rights,caste_bias,normal,Hinglish,Chennai,58,other
Mere pati mujhe maarte hain roz.,domestic_violence,none,urgent,Hinglish,Mumbai,53,female
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,urgent,Hinglish,Chennai,59,male
People are trolling and abusing me on social media.,cyber_bullying,caste_bias,normal,English,Delhi,23,other
People are trolling and abusing me on social media.,cyber_bullying,caste_bias,normal,English,Chennai,51,male
Roz ghar pe violence hota hai.,domestic_violence,caste_bias,urgent,Hinglish,Chennai,58,male
Roz ghar pe violence hota hai.,domestic_violence,class_bias,distress,English,Delhi,51,female
They refused to register FIR citing my None identity.,FIR_denial,none,urgent,English,Hyderabad,51,female
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,normal,Hinglish,Chennai,37,other
Office me biased treatment mil raha hai.,workplace_discrimination,none,normal,Hindi,Mumbai,47,male
Mere pati mujhe maarte hain roz.,domestic_violence,gender_bias,normal,English,Chennai,59,other
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,gender_bias,normal,Hinglish,Bhopal,19,other
Office me biased treatment mil raha hai.,workplace_discrimination,none,distress,Hinglish,Delhi,39,male
They refused to register FIR citing my Gender identity.,FIR_denial,gender_bias,normal,English,Mumbai,59,other
They are making me work overtime without pay.,labor_rights_violation,caste_bias,urgent,Hinglish,Patna,46,female
I am being harassed at workplace by senior.,harassment,class_bias,urgent,Hindi,Patna,21,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,none,distress,Hinglish,Bangalore,35,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,English,Patna,57,other
Police FIR nahi likh rahi kyunki main Gender hoon.,FIR_denial,gender_bias,distress,Hindi,Hyderabad,50,other
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,normal,Hindi,Bangalore,52,female
Office me biased treatment mil raha hai.,workplace_discrimination,none,urgent,Hinglish,Chennai,29,male
Dowry ke liye mujhe mentally harass kiya ja raha hai.,dowry,caste_bias,normal,English,Mumbai,42,female
Shopkeeper fraud kiya mere saath.,consumer_rights,gender_bias,normal,Hinglish,Chennai,38,female
My in-laws are torturing me for dowry.,dowry,caste_bias,urgent,English,Chennai,42,male
Boss discriminating against me for being Gender.,workplace_discrimination,gender_bias,urgent,Hindi,Chennai,60,other
They are making me work overtime without pay.,labor_rights_violation,gender_bias,urgent,Hindi,Hyderabad,23,male
Promotion nahi mila kyunki main Caste hoon.,workplace_discrimination,caste_bias,normal,Hindi,Chennai,34,other
Office wale badtameezi karte hain.,harassment,caste_bias,distress,Hinglish,Bangalore,33,male
Online log gaali de rahe hain.,cyber_bullying,class_bias,distress,English,Hyderabad,41,other
Consumer complaint file karna hai.,consumer_rights,none,distress,Hinglish,Delhi,26,female
My in-laws are torturing me for dowry.,dowry,gender_bias,normal,Hinglish,Patna,39,female
They refused to register FIR citing my Caste identity.,FIR_denial,caste_bias,distress,English,Hyderabad,28,other
Sarkari office me bribe maang rahe hain.,bribery_corruption,class_bias,distress,English,Kolkata,43,male
Labor laws ki dhajjiyan uda rahe hain.,labor_rights_violation,class_bias,urgent,English,Lucknow,21,other
Wife is denying me access to child.,child_custody,caste_bias,distress,English,Mumbai,37,male
Property ka dispute chal raha hai.,property_dispute,caste_bias,normal,Hindi,Lucknow,28,female
Corruption ho raha hai har jagah.,bribery_corruption,caste_bias,normal,Hindi,Bangalore,37,male
Police is not filing my FIR because I am None.,FIR_denial,none,normal,Hindi,Kolkata,52,female
Landlord evicted me without any legal notice.,rent_eviction,class_bias,distress,Hinglish,Bhopal,23,other
I am being harassed at workplace by senior.,harassment,class_bias,distress,Hinglish,Lucknow,48,male
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,normal,Hinglish,Chennai,29,other
Company salary nahi de rahi.,labor_rights_violation,class_bias,distress,English,Kolkata,22,male
Company salary nahi de rahi.,labor_rights_violation,none,urgent,Hindi,Chennai,34,male
They refused to register FIR citing my None identity.,FIR_denial,none,distress,English,Lucknow,21,female
Consumer complaint file karna hai.,consumer_rights,none,distress,Hindi,Jaipur,46,male
Promotion nahi mila kyunki main Class hoon.,workplace_discrimination,class_bias,normal,English,Lucknow,48,female
Police is not filing my FIR because I am Caste.,FIR_denial,caste_bias,normal,English,Bhopal,35,male
Landlord evicted me without any legal notice.,rent_eviction,none,normal,Hindi,Bhopal,57,male
Mere pati mujhe maarte hain roz.,domestic_violence,class_bias,urgent,Hindi,Hyderabad,42,other
Shopkeeper fraud kiya mere saath.,consumer_rights,none,distress,English,Jaipur,23,other
Neighbour encroaching on my land.,property_dispute,gender_bias,urgent,Hinglish,Delhi,51,female
My in-laws are torturing me for dowry.,dowry,none,distress,Hindi,Hyderabad,59,other
Roz ghar pe violence hota hai.,domestic_violence,gender_bias,distress,English,Lucknow,19,female
Office me biased treatment mil raha hai.,workplace_discrimination,class_bias,distress,Hindi,Patna,53,male
Mujhe ghar se nikaalne ki dhamki di ja rahi hai.,rent_eviction,none,urgent,Hindi,Mumbai,55,other
Had to pay bribe for simple work.,bribery_corruption,none,urgent,English,Chennai,38,female
Mere landlord ne bina notice mujhe ghar se nikaal diya.,rent_eviction,class_bias,distress,English,Bangalore,29,other
Property ka dispute chal raha hai.,property_dispute,gender_bias,urgent,Hinglish,Patna,23,female
